title,dateTime
Caitlyn Jenner Slams ‘Radical Left’ for Transgender Sports Stance: ‘Using Identity Politics to Divide Us’,2022-10-07T10:12:05Z
Caitlyn Jenner Slams ‘Radical Left’ for Transgender Sports Stance: ‘Using Identity Politics to Divide Us’,2022-10-07T10:12:05Z
Self-Described ‘Pro-LGBTQ+ Pastor’ Raphael Warnock Is Devoted to Transgender Agenda ,2022-10-06T22:38:56Z
Self-Described ‘Pro-LGBTQ+ Pastor’ Raphael Warnock Is Devoted to Transgender Agenda ,2022-10-06T22:38:56Z
"‘Non-Binary’ Division Added to Chicago Marathon 3 Days Before Race, But Activists Still Complain",2022-10-06T15:53:00Z
"‘Non-Binary’ Division Added to Chicago Marathon 3 Days Before Race, But Activists Still Complain",2022-10-06T15:53:00Z
J.K. Rowling Blasts Woke Celebs for Supporting Trans Kids Charity After Ties to Pedophilia Network Revealed,2022-10-06T03:23:30Z
J.K. Rowling Blasts Woke Celebs for Supporting Trans Kids Charity After Ties to Pedophilia Network Revealed,2022-10-06T03:23:30Z
92-Year-Old Allegedly Attacked By Transgender Crack Addict Given Six Months to Live,2022-10-05T01:27:25Z
92-Year-Old Allegedly Attacked By Transgender Crack Addict Given Six Months to Live,2022-10-05T01:27:25Z
"Nolte: Democrats Embrace Child Mutilation, Morbid Obesity to Replace Working Class",2022-10-04T18:13:33Z
"Nolte: Democrats Embrace Child Mutilation, Morbid Obesity to Replace Working Class",2022-10-04T18:13:33Z
Business Groups Ask Feds to Suppress Critics of Transgenderism,2022-10-04T01:21:23Z
Business Groups Ask Feds to Suppress Critics of Transgenderism,2022-10-04T01:21:23Z
Medical Associations Ask Biden’s DOJ to Investigate Individuals Against Transgender Surgeries for Children,2022-10-03T21:44:01Z
Medical Associations Ask Biden’s DOJ to Investigate Individuals Against Transgender Surgeries for Children,2022-10-03T21:44:01Z
Exclusive — John McEntee on ‘The Right Stuff’: ‘Political Affiliation’ Has Displaced ‘Religion’ as ‘Biggest Deal Breaker’ in Dating,2022-10-03T09:13:01Z
Exclusive — John McEntee on ‘The Right Stuff’: ‘Political Affiliation’ Has Displaced ‘Religion’ as ‘Biggest Deal Breaker’ in Dating,2022-10-03T09:13:01Z
‘Women’s Sports Are Being Robbed’: Female Track Athletes Sue Connecticut over Transgender Policy ,2022-10-02T18:08:01Z
‘Women’s Sports Are Being Robbed’: Female Track Athletes Sue Connecticut over Transgender Policy ,2022-10-02T18:08:01Z
House Democrats Block Republican Plan to Promote Parents’ Rights in Schools,2022-09-30T12:31:31Z
House Democrats Block Republican Plan to Promote Parents’ Rights in Schools,2022-09-30T12:31:31Z
High School Girls Banned from Their Own Locker Room After Voicing Concerns about Transgender Athlete,2022-09-30T11:37:33Z
High School Girls Banned from Their Own Locker Room After Voicing Concerns about Transgender Athlete,2022-09-30T11:37:33Z
Vladimir Putin Vows Destruction of ‘Satanic’ West in Ukraine Annexation Rant,2022-09-30T07:56:40Z
Vladimir Putin Vows Destruction of ‘Satanic’ West in Ukraine Annexation Rant,2022-09-30T07:56:40Z
Gavin Newsom Signs Law Making California a Sanctuary for Child Transgender Surgery,2022-09-30T05:38:26Z
Gavin Newsom Signs Law Making California a Sanctuary for Child Transgender Surgery,2022-09-30T05:38:26Z
Biological Male Dominating Opponents in Women’s Pro Disc Golf,2022-09-29T17:12:30Z
Biological Male Dominating Opponents in Women’s Pro Disc Golf,2022-09-29T17:12:30Z
Transgender Army Doctor and Wife Tried to Give Military Health Records to Russia,2022-09-29T15:07:42Z
Transgender Army Doctor and Wife Tried to Give Military Health Records to Russia,2022-09-29T15:07:42Z
Focus on Catching Criminals! UK Police Criticised After Ordering Public to Not Misgender ‘Trans’ Pedophile,2022-09-28T11:01:53Z
Focus on Catching Criminals! UK Police Criticised After Ordering Public to Not Misgender ‘Trans’ Pedophile,2022-09-28T11:01:53Z
Maine Department of Education Promotes Overnight Camp for Trans Six-Year-Olds in ‘Confidential Location’,2022-09-28T07:00:29Z
Maine Department of Education Promotes Overnight Camp for Trans Six-Year-Olds in ‘Confidential Location’,2022-09-28T07:00:29Z
Youngkin’s Model Policy on Transgenderism in Schools Is Set to Overturn Previous Policy Met with Parent Backlash,2022-09-27T13:34:19Z
Youngkin’s Model Policy on Transgenderism in Schools Is Set to Overturn Previous Policy Met with Parent Backlash,2022-09-27T13:34:19Z
Taxpayer-Funded Organization Promotes ‘Trans Identity’ to Two-Year-Olds,2022-09-26T16:14:23Z
Taxpayer-Funded Organization Promotes ‘Trans Identity’ to Two-Year-Olds,2022-09-26T16:14:23Z
Exclusive: Roger Marshall Challenges Education Department over Disappearing Title IX Comments on Redefining ‘Sex’,2022-09-26T09:00:51Z
Exclusive: Roger Marshall Challenges Education Department over Disappearing Title IX Comments on Redefining ‘Sex’,2022-09-26T09:00:51Z
"Democrat Kansas Gov. Laura Kelly Flips Again, Says Men Should Play Women’s Sports ",2022-09-23T17:59:11Z
"Democrat Kansas Gov. Laura Kelly Flips Again, Says Men Should Play Women’s Sports ",2022-09-23T17:59:11Z
‘Not F*cking True’: Virginia Delegation Clashes over Transgender Policy at Youngkin Meeting,2022-09-23T13:22:40Z
‘Not F*cking True’: Virginia Delegation Clashes over Transgender Policy at Youngkin Meeting,2022-09-23T13:22:40Z
